Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*06ktn*,1,1,1,SP,Tatsuya Imai,HOU,KLIU,Mar 11, 2026 8:33:48
*05jr0*,1,2,2,1B,Alec Burleson,STL,TFLA,Mar 11, 2026 8:35:07
*06fzu*,1,3,3,3B,Kazuma Okamoto,TOR,TC,Mar 11, 2026 10:33:47
*05t2b*,1,4,4,OF,Daylen Lile,WSH,ACP,Mar 11, 2026 11:05:43
*03ql5*,1,5,5,RP,Ryan Helsley,BAL,DAVE,Mar 11, 2026 12:12:10
*05jpd*,1,6,6,RP,Ian Seymour,TB,MLAM,Mar 11, 2026 12:17:07
*05vy5*,1,7,7,C,Carter Jensen,KC,CLIU,Mar 11, 2026 12:35:38
*04pko*,1,8,8,SP,Grayson Rodriguez,LAA,JAGO,Mar 11, 2026 1:20:25
*0658b*,1,9,9,SP,Jonah Tong,NYM,JTTA,Mar 11, 2026 4:09:55
*03i81*,1,10,10,SP,Reynaldo Lopez,ATL,LB,Mar 11, 2026 7:04:08
*04azv*,1,11,11,1B,Jake Burger,TEX,JLIU,Mar 11, 2026 7:09:10
*03dp8*,1,12,12,OF,Ramon Laureano,SD,JH,Mar 11, 2026 7:11:43
*04q56*,1,13,13,C,Logan O'Hoppe,LAA,DAVE,Mar 11, 2026 7:18:57,WGMO
*04p10*,1,14,14,2B,Bryson Stott,PHI,DAVE,Mar 11, 2026 7:41:07,PAN
*04eig*,1,15,15,SS,Jose Caballero,NYY,CHIP,Mar 11, 2026 7:43:11
*03d7h*,1,16,16,SP,Mitch Keller,PIT,GMK,Mar 11, 2026 9:24:57
*04ehz*,2,1,17,RP,Jeremiah Estrada,SD,KLIU,Mar 11, 2026 10:09:36
*02i2q*,2,2,18,SS,Carlos Correa,HOU,TFLA,Mar 11, 2026 10:18:06
*03pj4*,2,3,19,SP,Cody Ponce,TOR,TC,Mar 11, 2026 10:34:09
*05yb8*,2,4,20,SP,Chad Patrick,MIL,ACP,Mar 11, 2026 10:39:51
*05mdt*,2,5,21,OF,Evan Carter,TEX,DAVE,Mar 12, 2026 9:31:47
*06aly*,2,6,22,OF,Carson Benge,NYM,MLAM,Mar 12, 2026 9:43:46
*05tzn*,2,7,23,SP,Parker Messick,CLE,CLIU,Mar 12, 2026 10:12:26
*066n3*,2,8,24,RP,Ryan Walker,SF,JAGO,Mar 12, 2026 10:18:42
*05jrh*,2,9,25,UT,Colt Keith,DET,JTTA,Mar 12, 2026 11:14:35
*05143*,2,10,26,RP,Hunter Gaddis,CLE,LB,Mar 12, 2026 12:50:28
*04eos*,2,11,27,RP,Joey Cantillo,CLE,JLIU,Mar 12, 2026 1:23:06
*051ui*,2,12,28,SP,Jacob Lopez,ATH,JH,Mar 12, 2026 1:24:46
*041e3*,2,13,29,SP,Braxton Garrett,MIA,DAVE,Mar 12, 2026 4:25:19,WGMO
*01usi*,2,14,30,UT,Marcell Ozuna,PIT,PAN,Mar 12, 2026 5:04:38
*04pvl*,2,15,31,SP,Mike Burrows,HOU,CHIP,Mar 12, 2026 5:54:36
*0374m*,2,16,32,RP,Tyler Rogers,TOR,GMK,Mar 12, 2026 8:55:00
*041e2*,3,1,33,OF,Mickey Moniak,COL,KLIU,Mar 13, 2026 12:13:07
*0648n*,3,2,34,SS,Chase Meidroth,CHW,TFLA,Mar 13, 2026 7:42:27
*04z6k*,3,3,35,2B,Luisangel Acuna,CHW,TC,Mar 13, 2026 12:16:11
*02c2h*,3,4,36,SP,Chris Bassitt,BAL,ACP,Mar 13, 2026 12:26:28
*0596g*,3,5,37,RP,Reid Detmers,LAA,DAVE,Mar 13, 2026 12:28:50
*0310z*,3,6,38,SS,J.P. Crawford,SEA,MLAM,Mar 13, 2026 12:54:03
*05jnq*,3,7,39,RP,Clayton Beeter,WSH,CLIU,Mar 13, 2026 1:14:20
*04auk*,3,8,40,RP,Seranthony Dominguez,CHW,JAGO,Mar 13, 2026 1:44:16
*03qju*,3,9,41,RP,Garrett Cleavinger,TB,JTTA,Mar 13, 2026 2:25:16
*03pzn*,3,10,42,2B,Andres Gimenez,TOR,LB,Mar 13, 2026 2:27:12
*04o78*,3,11,43,OF,Matt Wallner,MIN,JLIU,Mar 13, 2026 3:06:01
*03dgq*,3,12,44,1B,Ryan O'Hearn,PIT,JH,Mar 13, 2026 3:11:19
*05itb*,3,13,45,SP,Randy Vasquez,SD,WGMO,Mar 13, 2026 3:42:25
*05gef*,3,14,46,SP,Cade Cavalli,WSH,PAN,Mar 13, 2026 4:34:41
*04tk1*,3,15,47,SP,Slade Cecconi,CLE,CHIP,Mar 13, 2026 5:04:32
*025it*,3,16,48,RP,Jason Adam,SD,GMK,Mar 13, 2026 8:05:34
*04mlx*,4,1,49,SP,Matthew Liberatore,STL,KLIU,Mar 13, 2026 8:13:50
*04yib*,4,2,50,3B,Brett Baty,NYM,TFLA,Mar 13, 2026 8:34:27
*04ej3*,4,3,51,RP,Riley O'Brien,STL,TC,Mar 13, 2026 8:36:39
*026lz*,4,4,52,UT,Josh Bell,MIN,ACP,Mar 13, 2026 8:40:03
*051ia*,4,5,53,1B,Spencer Horwitz,PIT,DAVE,Mar 13, 2026 9:44:51
*03qwa*,4,6,54,RP,Phil Maton,CHC,MLAM,Mar 13, 2026 10:33:38
*05jsg*,4,7,55,OF,Owen Caissie,MIA,CLIU,Mar 13, 2026 11:30:16
*05u2p*,4,8,56,SP,Jaxon Wiggins,CHC,JAGO,Mar 14, 2026 7:45:11
*052ru*,4,9,57,SS,Josh Smith,TEX,JTTA,Mar 14, 2026 9:02:51
