Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*03wha*,1,1,1,OF,Ronald Acuna Jr.,ATL,KLIU,Feb 26, 2024 8:04:08
*04lgp*,1,2,2,SS,Bobby Witt Jr.,KC,JTTA,Feb 26, 2024 9:29:38
*04fhb*,1,3,3,OF,Julio Rodriguez,SEA,JH,Feb 26, 2024 10:29:23
*02yc4*,1,4,4,UT,Shohei Ohtani,LAD,CHIP,Feb 26, 2024 10:52:39
*04y4e*,1,5,5,OF,Corbin Carroll,ARI,CLIU,Feb 26, 2024 12:01:52
*02btf*,1,6,6,OF,Mookie Betts,LAD,GMK,Feb 26, 2024 12:07:14
*03zbh*,1,7,7,OF,Fernando Tatis Jr.,SD,JAGO,Feb 26, 2024 12:58:58
*03ynj*,1,8,8,OF,Juan Soto,NYY,WGMO,Feb 26, 2024 3:12:31
*03pir*,1,9,9,OF,Kyle Tucker,HOU,TFLA,Feb 26, 2024 5:45:36
*02z0s*,1,10,10,OF,Aaron Judge,NYY,DAVE,Feb 26, 2024 5:52:47
*05udp*,1,11,11,SS,Elly De La Cruz,CIN,JLIU,Feb 26, 2024 6:04:14
*04355*,1,12,12,OF,Yordan Alvarez,HOU,MLAM,Feb 26, 2024 8:37:30
*02mwm*,1,13,13,1B,Matt Olson,ATL,PAN,Feb 26, 2024 8:50:11
*01cgo*,1,14,14,1B,Freddie Freeman,LAD,LB,Feb 26, 2024 8:57:56
*05mre*,1,15,15,SP,Spencer Strider,ATL,TC,Feb 26, 2024 9:13:33
*01spo*,1,16,16,SP,Gerrit Cole,NYY,ACP,Feb 26, 2024 9:15:03
*03pom*,2,1,17,3B,Austin Riley,ATL,ACP,Feb 26, 2024 9:29:49
*050w9*,2,2,18,3B,Gunnar Henderson,BAL,TC,Feb 26, 2024 9:33:33
*02mw6*,2,3,19,SS,Corey Seager,TEX,LB,Feb 26, 2024 10:00:47
*03ojr*,2,4,20,1B,Vladimir Guerrero Jr.,TOR,PAN,Feb 26, 2024 11:57:14
*030uc*,2,5,21,3B,Rafael Devers,BOS,MLAM,Feb 27, 2024 12:04:23
*0512v*,2,6,22,OF,Michael Harris II,ATL,JLIU,Feb 27, 2024 1:17:39
*01ub6*,2,7,23,3B,Jose Ramirez,CLE,DAVE,Feb 27, 2024 7:30:37
*05m1e*,2,8,24,OF,Jackson Chourio,MIL,TFLA,Feb 27, 2024 7:52:44
*047l7*,2,9,25,OF,Luis Robert Jr.,CHW,WGMO,Feb 27, 2024 10:27:59
*02c68*,2,10,26,SS,Trea Turner,PHI,JAGO,Feb 27, 2024 10:28:26
*041rd*,2,11,27,SP,Corbin Burnes,BAL,GMK,Feb 27, 2024 10:39:15
*03fi0*,2,12,28,2B,Ozzie Albies,ATL,CLIU,Feb 27, 2024 11:24:32
*01fh9*,2,13,29,1B,Bryce Harper,PHI,CHIP,Feb 27, 2024 11:25:27
