Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*06cc7*,1,1,1,SG,Brandin Podziemski,GS,LB,Oct 8, 2024 9:32:34
*06mjv*,1,2,2,SG,Reed Sheppard,HOU,JH,Oct 8, 2024 9:42:39
*06mk1*,1,3,3,C,Zach Edey,MEM,WGMO,Oct 8, 2024 11:53:06
*042nt*,1,4,4,C,Ivica Zubac,LAC,TFLA,Oct 8, 2024 12:07:56
*06mjw*,1,5,5,PG,Stephon Castle,SA,TC,Oct 8, 2024 12:13:43
*06mjt*,1,6,6,SF,Zaccharie Risacher,ATL,JTTA,Oct 8, 2024 3:13:10
*06cbx*,1,7,7,SF,Jaime Jaquez,MIA,CLIU,Oct 8, 2024 4:32:14
*06mjz*,1,8,8,C,Donovan Clingan,POR,JAGO,Oct 8, 2024 4:35:28
*06mju*,1,9,9,PF,Alex Sarr,WAS,GMK,Oct 8, 2024 4:43:36
*05ujc*,1,10,10,SG,Ayo Dosunmu,CHI,KLIU,Oct 8, 2024 4:47:03
*06mjx*,1,11,11,SF,Ron Holland,DET,JH,Oct 8, 2024 4:53:41,JLIU
*042n6*,1,12,12,C,Jakob Poeltl,TOR,MLAM,Oct 8, 2024 5:39:32
*0558t*,1,13,13,SF,Max Strus,CLE,CHIP,Oct 8, 2024 6:15:10
*06ccd*,1,14,14,PF,Noah Clowney,BKN,PAN,Oct 8, 2024 8:56:18
*000zv*,1,15,15,C,Al Horford,BOS,DAVE,Oct 8, 2024 11:56:33
*06mk6*,1,16,16,PG,Carlton Carrington,WAS,ACP,Oct 8, 2024 11:56:43
*06mk0*,2,1,17,PG,Robert Dillingham,MIN,LB,Oct 9, 2024 5:12:32
*06mk7*,2,2,18,C,Kel'el Ware,MIA,JH,Oct 9, 2024 7:09:19
*051op*,2,3,19,PF,Rui Hachimura,LAL,WGMO,Oct 9, 2024 9:38:47
*03wr4*,2,4,20,PG,T.J. McConnell,IND,TFLA,Oct 9, 2024 9:48:50
*0623m*,2,5,21,SG,Keon Ellis,SAC,TC,Oct 9, 2024 9:58:13
*0622f*,2,6,22,PF,Karlo Matkovic,NO,JTTA,Oct 9, 2024 10:21:20
*051p1*,2,7,23,PF,Brandon Clarke,MEM,CLIU,Oct 9, 2024 11:56:13
*06mk3*,2,8,24,SF,Matas Buzelis,CHI,JAGO,Oct 9, 2024 12:44:51
*02nf9*,2,9,25,C,Andre Drummond,PHI,GMK,Oct 9, 2024 1:02:47
*06mkd*,2,10,26,C,Yves Missi,NO,KLIU,Oct 9, 2024 1:03:09
*06cc2*,2,11,27,SG,Gradey Dick,TOR,JLIU,Oct 9, 2024 2:11:47
*04qsm*,2,12,28,PG,De'Anthony Melton,GS,MLAM,Oct 9, 2024 5:12:03
