Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*03e75*,1,1,1,C,Nikola Jokic,DEN,ACP,9/24/2023 5:07
*04kj6*,1,2,2,PG,Luka Doncic,DAL,MLAM,9/24/2023 8:26
*05qtv*,1,3,3,PG,Tyrese Haliburton,IND,TC,9/24/2023 9:05
*03xmv*,1,4,4,SF,Jayson Tatum,BOS,CLIU,9/24/2023 9:38
*04qro*,1,5,5,SG,Shai Gilgeous-Alexander,OKC,PAN,9/24/2023 11:30
*06cch*,1,6,6,PF,Victor Wembanyama,SA,KLIU,9/25/2023 12:15
*03al2*,1,7,7,C,Joel Embiid,PHI,JTTA,9/25/2023 10:30
*031m2*,1,8,8,PF,Giannis Antetokounmpo,MIL,GMK,9/25/2023 11:18
*05qug*,1,9,9,SG,Anthony Edwards,MIN,TFLA,9/25/2023 11:24
*01enh*,1,10,10,PG,Stephen Curry,GS,LB,9/25/2023 11:39
*05qto*,1,11,11,PG,LaMelo Ball,CHA,WGMO,9/25/2023 1:23
*05uib*,1,12,12,PG,Cade Cunningham,DET,JLIU,9/25/2023 1:59
*04qrk*,1,13,13,PG,Trae Young,ATL,JAGO,9/25/2023 6:41
*02nf1*,1,14,14,PF,Anthony Davis,LAL,DAVE,9/25/2023 9:02
*04qrj*,1,15,15,C,Jaren Jackson,MEM,CHIP,9/25/2023 9:32
*03nwm*,1,16,16,SG,Devin Booker,PHO,JH,9/25/2023 9:52
*04qrn*,2,1,17,SF,Mikal Bridges,BKN,JH,9/25/2023 9:52
*03ad3*,2,2,18,C,Karl-Anthony Towns,MIN,CHIP,9/25/2023 10:31
*001aw*,2,3,19,SF,Kevin Durant,PHO,DAVE,9/26/2023 5:48
*04ewe*,2,4,20,SG,Donovan Mitchell,CLE,JAGO,9/26/2023 7:21
*06211*,2,5,21,PF,Chet Holmgren,OKC,JLIU,9/26/2023 7:24
*042n7*,2,6,22,PF,Domantas Sabonis,SAC,WGMO,9/26/2023 10:50
*04ewf*,2,7,23,C,Bam Adebayo,MIA,LB,9/26/2023 10:54
*05uid*,2,8,24,C,Evan Mobley,CLE,TFLA,9/26/2023 10:57
*049kb*,2,9,25,PG,De'Aaron Fox,SAC,GMK,9/26/2023 11:07
*051ol*,2,10,26,PG,Darius Garland,CLE,JTTA,9/26/2023 5:06
*04azw*,2,11,27,PF,Lauri Markkanen,UTA,KLIU,9/26/2023 5:07
*02nf6*,2,12,28,PG,Damian Lillard,MIL,PAN,9/26/2023 6:47
*027oj*,2,13,29,PG,Kyrie Irving,DAL,CLIU,9/26/2023 10:01
*06210*,2,14,30,SF,Paolo Banchero,ORL,TC,9/26/2023 10:14
*06cdn*,2,15,31,PG,Scoot Henderson,POR,MLAM,9/26/2023 11:36
*04848*,2,16,32,PG,Fred VanVleet,HOU,ACP,9/27/2023 11:13
*03el5*,3,1,33,PF,Kristaps Porzingis,BOS,ACP,9/27/2023 11:13
