Player ID,Round,Pick,Ov Pick,Pos,Player,Team,Fantasy Team,Time (PDT)
*05gu5*,1,1,1,WR,Justin Jefferson,MIN,CHIP,Aug 5, 2024 8:13:53
*05rlf*,1,2,2,WR,Ja'Marr Chase,CIN,JH,Aug 5, 2024 8:14:17
*048xf*,1,3,3,RB,Christian McCaffrey,SF,DAVE,Aug 5, 2024 8:16:02
*05gu3*,1,4,4,WR,CeeDee Lamb,DAL,LB,Aug 5, 2024 8:16:12
*05roj*,1,5,5,WR,Amon-Ra St. Brown,DET,JLIU,Aug 5, 2024 8:28:50
*06anf*,1,6,6,RB,Bijan Robinson,ATL,TC,Aug 5, 2024 9:10:19
*060nv*,1,7,7,RB,Breece Hall,NYJ,PAN,Aug 5, 2024 9:18:58
*06b03*,1,8,8,WR,Puka Nacua,LAR,ACP,Aug 5, 2024 11:16:41
*040id*,1,9,9,WR,Tyreek Hill,MIA,JAGO,Aug 5, 2024 11:18:35
*04ca6*,1,10,10,QB,Patrick Mahomes,KC,TFLA,Aug 5, 2024 11:39:52
*06jdz*,1,11,11,WR,Marvin Harrison,ARI,WGMO,Aug 5, 2024 12:14:20
*04mnz*,1,12,12,QB,Josh Allen,BUF,GMK,Aug 5, 2024 12:24:55
*04ynd*,1,13,13,WR,A.J. Brown,PHI,MLAM,Aug 5, 2024 2:15:26
*03ce8*,1,14,14,WR,Davante Adams,LV,CLIU,Aug 5, 2024 3:32:15
*06anq*,1,15,15,RB,Jahmyr Gibbs,DET,JTTA,Aug 5, 2024 3:47:36
*05gu7*,1,16,16,RB,Jonathan Taylor,IND,KLIU,Aug 5, 2024 5:24:52
*060k2*,2,1,17,WR,Garrett Wilson,NYJ,KLIU,Aug 5, 2024 5:25:20
*06amy*,2,2,18,QB,C.J. Stroud,HOU,JTTA,Aug 5, 2024 5:26:39
*04mog*,2,3,19,QB,Lamar Jackson,BAL,CLIU,Aug 5, 2024 6:31:51
*05rnp*,2,4,20,WR,Nico Collins,HOU,MLAM,Aug 5, 2024 7:46:26
*060ry*,2,5,21,RB,Kyren Williams,LAR,GMK,Aug 5, 2024 8:11:21
*060jr*,2,6,22,WR,Drake London,ATL,WGMO,Aug 5, 2024 9:36:29
*06aod*,2,7,23,TE,Sam LaPorta,DET,TFLA,Aug 6, 2024 3:37:03
*060kf*,2,8,24,WR,Chris Olave,NO,JAGO,Aug 6, 2024 7:31:41
*05rlk*,2,9,25,WR,Jaylen Waddle,MIA,ACP,Aug 6, 2024 10:18:46
*04mnp*,2,10,26,RB,Saquon Barkley,PHI,PAN,Aug 6, 2024 11:12:22
*05gux*,2,11,27,WR,Michael Pittman,IND,TC,Aug 6, 2024 11:15:35
*06je1*,2,12,28,WR,Malik Nabers,NYG,JLIU,Aug 6, 2024 11:26:57
*06app*,2,13,29,RB,Devon Achane,MIA,LB,Aug 6, 2024 11:32:54
*05gv4*,2,14,30,QB,Jalen Hurts,PHI,DAVE,Aug 6, 2024 11:33:12
*05rls*,2,15,31,RB,Travis Etienne,JAX,JH,Aug 6, 2024 11:43:46
*05guf*,2,16,32,WR,Brandon Aiyuk,SF,CHIP,Aug 6, 2024 12:08:28
*06an4*,3,1,33,QB,Anthony Richardson,IND,CHIP,Aug 6, 2024 12:08:43
*04mp8*,3,2,34,WR,D.J. Moore,CHI,JH,Aug 6, 2024 12:11:50
*04yo1*,3,3,35,WR,Deebo Samuel,SF,DAVE,Aug 6, 2024 12:27:36
*04ccp*,3,4,36,WR,Cooper Kupp,LAR,LB,Aug 6, 2024 12:28:08
*05rm7*,3,5,37,WR,DeVonta Smith,PHI,JLIU,Aug 6, 2024 12:37:43
*05gu9*,3,6,38,QB,Jordan Love,GB,TC,Aug 6, 2024 12:42:04
*04ynh*,3,7,39,WR,DK Metcalf,SEA,PAN,Aug 6, 2024 1:03:51
*060ru*,3,8,40,RB,Rachaad White,TB,ACP,Aug 6, 2024 2:52:56
*060sn*,3,9,41,RB,Isiah Pacheco,KC,JAGO,Aug 6, 2024 2:53:22
*03ol4*,3,10,42,WR,Stefon Diggs,HOU,TFLA,Aug 6, 2024 3:34:08
*060rf*,3,11,43,RB,James Cook,BUF,WGMO,Aug 6, 2024 4:04:32
*060lt*,3,12,44,RB,Kenneth Walker III,SEA,GMK,Aug 6, 2024 4:22:22
*06anp*,3,13,45,TE,Dalton Kincaid,BUF,MLAM,Aug 6, 2024 5:57:04
*04ynf*,3,14,46,RB,Josh Jacobs,GB,CLIU,Aug 6, 2024 6:26:47
*060qz*,3,15,47,TE,Trey McBride,ARI,JTTA,Aug 6, 2024 6:35:34
*06anj*,3,16,48,WR,Zay Flowers,BAL,KLIU,Aug 6, 2024 6:40:59
*05gtu*,4,1,49,QB,Joe Burrow,CIN,KLIU,Aug 6, 2024 6:56:55
*06ayk*,4,2,50,WR,Tank Dell,HOU,JTTA,Aug 6, 2024 6:58:02
*04mot*,4,3,51,TE,Mark Andrews,BAL,CLIU,Aug 6, 2024 8:13:45
*03wra*,4,4,52,RB,Derrick Henry,BAL,MLAM,Aug 6, 2024 8:26:04
*060lg*,4,5,53,WR,George Pickens,PIT,GMK,Aug 6, 2024 9:32:42
*04yna*,4,6,54,QB,Kyler Murray,ARI,WGMO,Aug 6, 2024 11:18:57
*04cfu*,4,7,55,RB,Aaron Jones,MIN,TFLA,Aug 7, 2024 7:20:30
*06je0*,4,8,56,TE,Brock Bowers,LV,JAGO,Aug 7, 2024 7:21:13
*03ccu*,4,9,57,WR,Mike Evans,TB,ACP,Aug 7, 2024 9:48:58
*05rm3*,4,10,58,TE,Kyle Pitts,ATL,PAN,Aug 7, 2024 10:30:47
*04yp1*,4,11,59,WR,Terry McLaurin,WAS,TC,Aug 7, 2024 10:31:13
*02ztg*,4,12,60,TE,Travis Kelce,KC,JLIU,Aug 7, 2024 12:00:02
*04cf1*,4,13,61,TE,George Kittle,SF,LB,Aug 7, 2024 12:08:31
*05gu2*,4,14,62,RB,D'Andre Swift,CHI,DAVE,Aug 7, 2024 12:35:50
*04cc5*,4,15,63,RB,Joe Mixon,HOU,JH,Aug 7, 2024 12:38:00
*05gui*,4,16,64,WR,Tee Higgins,CIN,CHIP,Aug 7, 2024 1:17:35
*04ccr*,5,1,65,RB,Alvin Kamara,NO,KLIU,Aug 7, 2024 1:28:08
*04mou*,5,2,66,WR,Christian Kirk,JAX,JTTA,Aug 7, 2024 2:12:09
*04ypi*,5,3,67,RB,David Montgomery,DET,CLIU,Aug 7, 2024 2:43:14
*05gtw*,5,4,68,QB,Justin Herbert,LAC,MLAM,Aug 7, 2024 2:58:22
*06je2*,5,5,69,WR,Rome Odunze,CHI,GMK,Aug 7, 2024 4:07:37
*05ror*,5,6,70,RB,Rhamondre Stevenson,NE,WGMO,Aug 7, 2024 5:51:52
*06anm*,5,7,71,WR,Jordan Addison,MIN,TFLA,Aug 7, 2024 6:28:59
*060rp*,5,8,72,RB,Zamir White,LV,JAGO,Aug 7, 2024 6:29:23
*03oh4*,5,9,73,WR,Amari Cooper,CLE,ACP,Aug 7, 2024 6:59:13
*04cdb*,5,10,74,WR,Chris Godwin,TB,PAN,Aug 7, 2024 8:27:31
*04zfm*,5,11,75,RB,Tony Pollard,TEN,TC,Aug 7, 2024 8:30:21
*05rlw*,5,12,76,RB,Najee Harris,PIT,JLIU,Aug 7, 2024 8:37:00
*040ha*,5,13,77,QB,Dak Prescott,DAL,LB,Aug 7, 2024 8:39:35
*04caj*,5,14,78,TE,Evan Engram,JAX,DAVE,Aug 7, 2024 9:06:32
*060su*,5,15,79,TE,Jake Ferguson,DAL,JH,Aug 7, 2024 9:21:26
*04cdt*,5,16,80,RB,James Conner,ARI,CHIP,Aug 7, 2024 10:22:53
*06jeq*,6,1,81,RB,Jonathon Brooks,CAR,CHIP,Aug 8, 2024 8:19:44
*06jdx*,6,2,82,QB,Caleb Williams,CHI,JH,Aug 8, 2024 8:20:11
